Timestamp	都道府県	災害救助法 適用	市町村名	電話対応を行った災害	その災害の名称はなんですか？（例：平成30年7月豪雨）	災害対策本部の運営業務全体のうち、電話への対応は全体の業務量のうち何％でしたか？	電話対応で最も長かった電話の時間は何分程度でしたか？	その内容はどのようなものでしたか？	電話対応の平均的な時間は何分程度でしたか？	電話回数は平常時と比較してどうですか？	安否確認	被害状況確認	被害状況報告	救助要請	避難所についての問い合わせ	ボランティアについての問い合わせ	支援物資についての問い合わせ	マスコミの問い合わせ	その他（複数記入可、各項目に０〜４の基準も付けてください）（例：〜の問い合わせ（２）、〜の問い合わせ（４））	電話に回答する際、その情報源はなんでしたか。（複数選択可）	有効だった情報源があれば教えてください。	電話に効率良く対応できたと思いますか？	電話対応の際、どのような問題に遭遇しましたか？（複数選択可）	電話対応が原因で業務への負荷を感じましたか。	電話で受ける情報をどう管理しましたか。	デジタル式を選択した場合、どのようなシステムやアプリケーションを使いましたか。	情報を総合的にどう管理し、共有しましたか。	デジタル式を選択した場合、どのようなシステムやアプリケーションを使いましたか。	情報管理する際に直面した問題はなんですか。（複数選択可）	自動音声認識は自治体で役に立つと思いますか？	自動音声認識システムを導入したいと思いますか？	「はい」以外を選択した場合、その理由はなんですか。	自動音声認識システムに欲しい機能はなんですか。	他に付け加えたい情報がございましたら、ご自由にお書きください。
5/22/2019 11:56:27	北海道	N	雨竜町	地震	北海道胆振東部地震	０〜１０％	４分程度	電力の復旧	2分程度	平常時と電話回数はほぼ同じだった。	0	2	2	0	1	0	0	0		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。	現地からの情報	2	情報不足だった。	2	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。	2	どちらとも言えない。			
5/22/2019 12:26:59	北海道	N	帯広市	地震	平成３０年北海道胆振東部地震	数値化することは困難				平常時より電話回数が極めて多かった。	1	4	4	1	4	2	4	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。		3	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	4	紙に書き留めた内容をコンピューターで整理	エクセル	紙に書き留めた内容をコンピューターで整理	エクセル	情報量が多すぎて混乱してしまった。	4	どちらとも言えない。	費用対効果がどの程度あるか疑問		
5/22/2019 23:56:57	徳島県	UNKNOWN	上勝町	台風		０〜１０％	１０分程度	被害情報及び対応依頼	３～５分	平常時と電話回数はほぼ同じだった。	0	2	2	0	0	0	0	1		関係者（例：消防庁や避難所運営者）からの電話やメール。		3	特に大した問題はなかった。	2	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	4	どちらとも言えない。			◇実際に「災害」と言える程の災害を経験していませんので、台風時の比較的被害の多かった事案で記入させていただきました。 ◇自動音声認識システムについては、電話の内容をテキスト化するのは理解できますが、その他の機能を把握しておりませんで漠然とした回答になっております。
5/23/2019 0:12:34	福島県	Y	喜多方市	地震	東日本大震災	２１〜３０％	約60分	苦情及び要望等	５分以内	平常時より電話回数が多かった。	1	2	3	3	4	4	4	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。	公的機関やＮＨＫ等の情報	3	情報不足だった。, どこで必要な情報を取得できるか分からなかった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		内容により市役所内の各担当者が対応した		ピンポイントにほしい情報を探すことに苦労した	5	はい、積極的に導入したい。	定型な対応だけでも電話対応が軽減できればよいと考える	定型的なＱ＆Ａ内容（災害法令について）、それに基づく市内計画内容の受け答え	本システム導入時に市町村負担があると導入できないところもある。Ｌアラート等に関連して全地方公共団体が導入でき、各団体で情報共有できるような汎用性の高いプラットフォームシステムづくりが重要と考える。
5/23/2019 0:24:04	兵庫県	Y	西脇市	豪雨	平成30年7月豪雨	３１〜４０％	60	要望・苦情	5	平常時より電話回数が極めて多かった。	1	1	3	3	2	1	0	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。		2	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。	4	はい、積極的に導入したい。			
5/23/2019 0:37:32	三重県	N	志摩市	台風	平成３０年　台風２１号　台風２４号	０〜１０％	約３０分	１　停電の復旧状況の問合せ及びそれに関する行政への苦情 ２　自宅及び周辺の浸水状況の通報と対応の依頼	約５分～１０分	平常時より電話回数が多かった。	0	4	3	3	3	0	0	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。		4	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		関係者（担当）に口頭とメモで伝達した。		特に大した問題はなかった。	5	どちらとも言えない。	実物を確認していないのでイメージアップできない。	苦情対応機能	
5/23/2019 0:40:42	北海道	Y	歌志内市	地震	北海道胆振東部地震	０〜１０％	5分程度	道などからの災害状況の確認	2分程度	平常時より電話回数が多かった。	1	3	2	0	3	0	2	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。	道防災情報システム	3	特に大した問題はなかった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	3	どちらとも言えない。	システムを導入するほど問い合わせが多くないため		
5/23/2019 0:59:07	青森県	Y	八戸市	地震	東日本大震災	２１〜３０％	30分	・ガソリンはどこで手に入るのか。 ・福島からの避難者のスクリーニングについて。	10分～15分	平常時より電話回数が多かった。	2	2	1	0	3	1	3	2	・被災者支援のために寄附したい。(２)	関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。	消防・警察・自衛隊からの情報	4	情報不足だった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。		方言を理解する能力	
5/23/2019 1:10:51	北海道	Y	長沼町	地震	平成３０年胆振東部地震	５１〜６０％	４分	問い合わせ	３分	平常時より電話回数が多かった。	1	1	2	2	1	0	0	1	ライフラインの復旧予定について（４）	関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。		3	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。	3	どちらとも言えない。	目印でテキスト化される文章の精度		
5/23/2019 1:28:08	愛媛県	N	愛南町	豪雨	平成３０年７月豪雨	６１〜７０％	１０分	災害対応に関する意見苦情	２～３分	平常時より電話回数が極めて多かった。	1	1	4	4	1	1	0	4		災害対策本部での集約情報		2	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。	3	どちらとも言えない。	実際にシステムを操作等してからでないと判断できない		
5/23/2019 2:50:16	愛知県	N	西尾市	台風	台風21号	３１〜４０％	20分	被害情報	5分	平常時より電話回数が多かった。	0	2	3	0	1	0	0	1		災害対策本部に提供いただいた情報	市民からの連絡	2	情報の信憑性が確かではなかった。, 避難勧告発令時に電話が殺到し、発令に時間がかかった。	4	ホワイトボードに書き足した。		ホワイトボードに書き足し、すぐに情報確認ができるようにした。		特に大した問題はなかった。	3	どちらとも言えない。			
5/23/2019 4:07:11	愛知県	N	幸田町	台風	平成30年　台風21号	７１〜８０％	不明	停電に関する問い合わせ、倒木被害の報告等	3～5分程度	平常時より電話回数が多かった。	0	3	3	0	2	0	0	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。		3	個々の電話対応に必要以上の時間が掛かった。	3	受付時は紙で書き留め、その後データ入力（エクセル管理）		資料を本部会議に提出し共有（紙媒体）、ホワイトボードに掲示		他の関係者と情報共有が中々うまくできなかった。	3	どちらとも言えない。	実際に導入した自治体の話を聞いたことが無いため、効果がわからない。		
5/23/2019 4:34:04	北海道	N	鷹栖町	豪雨	平成30年7月豪雨	０〜１０％	５分	家屋近くまで水が来ているので土のうを積んでほしい	３分	平常時と電話回数はほぼ同じだった。	1	1	3	2	0	0	0	4		情報収集を目的として人員を現地に派遣した。	パトロール員	4	特に大した問題はなかった。	2	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	1	いいえ、導入したくない。			
5/23/2019 5:09:59	岐阜県	N	安八町	台風	平成３０年　台風２１号	１１〜２０％	１５分	停電の対応について	３~５分	平常時より電話回数が多かった。	0	4	1	0	1	0	1	1		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。		2	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。	5	どちらとも言えない。			
5/23/2019 5:17:17	埼玉県	N	北本市	台風	平成29年台風21号	０〜１０％	10分	物資、救助の要請	2分	平常時より電話回数が多かった。	0	3	2	2	2	0	3	0		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。	現地からの写真（line）	4	情報不足だった。, 情報の信憑性が確かではなかった。, 個々の電話対応に必要以上の時間が掛かった。	2	主にコンピューター端末に入力した。（デジタル式）	ワード	主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	ワード	他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	4	はい、積極的に導入したい。		ホームページへ誘導するためのSMS送信機能	
5/23/2019 6:10:19	山口県	N	周南市	豪雨	平成30年7月豪雨	１１〜２０％	60分	マスコミからの取材	5分	平常時より電話回数が極めて多かった。	2	4	3	0	4	3	1	4		情報収集を目的として人員を現地に派遣した。		3	情報不足だった。, どこで必要な情報を取得できるか分からなかった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	2	どちらとも言えない。	相手の口調や感情により回答内容や接し方について臨機応変に対応が必要	ニーズ把握の正確さと迅速な回答	
5/23/2019 6:26:05	山口県	N	下関市	豪雨	平成30年7月豪雨	２１〜３０％		がけ崩れ	5分	平常時より電話回数が極めて多かった。	0	4	4	0	1	0	0	2				3	特に大した問題はなかった。	3	主に紙に書き留めた。（アナログ式）		主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	汎用データ管理システム	特に大した問題はなかった。	4	どちらとも言えない。			
5/23/2019 7:02:28	兵庫県	N	明石市	豪雨	平成３０年７月豪雨ほか		６０分程度	高齢者避難準備情報発令地域の周知方法について	５分	平常時より電話回数が多かった。	2	3	4	2	4	0	0	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。		2	情報不足だった。, どこで必要な情報を取得できるか分からなかった。, 個々の電話対応に必要以上の時間が掛かった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。	4	どちらとも言えない。	導入費用の問題	柔軟なカスタマイズ	
5/23/2019 8:29:56	山梨県	N	昭和町	台風	台風21号、台風24号	災害対策本部の設置はなかった	２～３分	町民からの被害についての通報など	２～３分	平常時と電話回数はほぼ同じだった。	0	1	2	0	0	0	0	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。		3	特に大した問題はなかった。	2	主にコンピューター端末に入力した。（デジタル式）	総合防災情報システム	主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	2	どちらとも言えない。	経費面や事務の煩雑化が懸念される。防災情報システム等と連携できるのであれば効率化が図れるかもしれない。		
5/23/2019 9:23:53	岩手県	Y	岩手町	地震	東日本大震災	０〜１０％	15分	マスコミ取材		平常時より電話回数が極めて多かった。	0	1	3	0	0	0	0	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。		2	情報不足だった。, マスコミへの対応に苦慮した	4	読み上げを行いホワイトボード上にタイムライン形成すると同時にPC入力	エクセル	上記による併用		特に大した問題はなかった。	3	どちらとも言えない。			
5/23/2019 9:43:11	岩手県	Y	西和賀町	地震	東日本大震災	２１〜３０％	5分程度	マスコミからの被災状況の確認	3分程度	平常時より電話回数が極めて多かった。	0	4	4	0	1	1	2	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。		2	情報不足だった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。	災害時のみの利用という点と導入費用が釣り合うかわからない	被害情報を効率よく聞き取る機能　例えば、場所・状況・負傷者・どうしてほしいか等、質問形式で必要な項目を自動で埋める機能	災害情報の電話受付では、場所や状況をかなり曖昧に受け付けてしまい、後から確認の電話をするなど二度手間だったり、連絡先が分からず対応が後手になったりすることがありました。自動音声で情報を集めてくれると助かると思いましたが、ロボットが相手だと電話を切ってしまうかもしれませんね。通話内容を自動で文書化するのも大変良いと思いますが、情報収集に対応する職員のスキルアップも必要と思いました。
5/23/2019 13:04:11	広島県	Y	坂町	豪雨	平成30年7月豪雨	７１〜８０％	60分	救助要請、苦情（ライフライン・救助・支援物資等）	10分程度	平常時より電話回数が極めて多かった。	3	4	2	4	3	3	2	4		関係者（例：消防庁や避難所運営者）からの電話やメール。		2	情報不足だった。, どこで必要な情報を取得できるか分からなかった。, 情報の信憑性が確かではなかった。, 個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	4	どちらとも言えない。	自治体に導入する余裕が無い。自治体は導入だけに囚われてその後の事には手が回らない場合がある。自治体の余裕が無い中で導入しても宝を腐らせてしまいそうであるため。	担当課への振分け、及び簡単な質問等への自動回答	
5/23/2019 23:24:11	北海道	Y	岩見沢市	地震	北海道胆振東部地震	２１〜３０％			2分	平常時より電話回数が極めて多かった。	1	4	1	0	1	0	0	1	停電の回復見込み（４）	関係者（例：消防庁や避難所運営者）からの電話やメール。		3	情報不足だった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。	3	どちらとも言えない。		特別な知識がなくても使えるシステム	
5/24/2019 0:14:01	　熊本県	N	和水町	地震	平成31年1月3日の地震	２１〜３０％	　５分（多分）	　被害状況など	　1分	平常時より電話回数が極めて多かった。	3	4	3	0	1	1	1	4		関係者（例：消防庁や避難所運営者）からの電話やメール。	　地区区長（住民）	2	情報不足だった。, 情報の信憑性が確かではなかった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報量が多すぎて混乱してしまった。	2	いいえ、導入したくない。			
5/24/2019 0:58:33	北海道	Y	新篠津村	地震	平成30年胆振東部地震	０〜１０％	5分	覚えていない	3分	平常時より電話回数が多かった。	1	1	1	0	0	0	0	1		関係者（例：消防庁や避難所運営者）からの電話やメール。		4	特に大した問題はなかった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）			2	いいえ、導入したくない。			
5/24/2019 1:32:22	愛知県	N	みよし市	台風	平成30年台風２１号、２４号	３１〜４０％	１０分程度	倒木の報告	電話所要時間の平均は未調査	平常時より電話回数が多かった。	0	1	4	0	1	0	0	1		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。	市町村支援システム及び県防災情報システム	3	個々の電話対応に必要以上の時間が掛かった。	3	手書きで報告を書留、対応記録をPCに入力	エクセル、市町村支援システム	主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	4	どちらとも言えない。			
5/24/2019 1:45:49	北海道	Y	新十津川町	地震	平成30年北海道胆振東部地震	３１〜４０％	５分程度	停電（ブラックアウト）に関して、通電再開の見込みに関する問い合わせ及び発電機等電力支援の要請等	２～３分程度	平常時と電話回数はほぼ同じだった。	1	1	1	0	2	0	1	1		関係者（例：消防庁や避難所運営者）からの電話やメール。	テレビ、スマートフォン	3	情報不足だった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。	4	はい、積極的に導入したい。	電話取次等の負担と時間の軽減	上記に記載の説明のようになれば良いと思う。	
5/24/2019 2:27:08	香川県	UNKNOWN	三木町	台風	平成16年台風23号	不明				平常時より電話回数が極めて多かった。	1	1	3	3	3	2	2	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。	地元消防団からの情報	3	情報の信憑性が確かではなかった。, 個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。			
5/24/2019 4:05:02	熊本県	Y	嘉島町	地震	熊本地震	１１〜２０％	約１２０分	住家の被害認定調査の結果に関するもの	１０分～１５分程度	平常時より電話回数が多かった。	1	3	3	1	2	2	2	3		関係者（例：消防庁や避難所運営者）からの電話やメール。		3	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。			
5/24/2019 6:03:27	岩手県	N	一関市	台風	平成28年度台風10号	別に職員が対応																								3	どちらとも言えない。			
5/24/2019 9:28:38	石川県	Y	加賀市	豪雨、台風、豪雪	平成30年7月豪雨　など	具体的には不明だが、半分近く占めると思われる	一人の方に対して延べ一時間以上	避難所の開設要望、避難所への送迎要望、浸水区域外の施設に対しての避難計画作成要望、除雪に対する要望等	５～10分程度と思われる。	平常時より電話回数が極めて多かった。	0	1	4	3	3	0	1	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。	すべて	3	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。, 信憑性のある情報を入手するまでに時間がかかった	5	紙に書き留めたうえで、後々、主なものを簡易的にデータでまとめた	エクセル等	紙に書き留めたうえで、後々、主なものを簡易的にデータでまとめた		他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。, 信憑性のある情報を入手するまでに時間がかかった	5	どちらとも言えない。		機能ではないが、導入費用が大きくなりすぎないようにしてほしい。	
5/24/2019 9:47:04	愛媛県	N	上島町	豪雨	平成30年７月豪雨	本部運営は長時間多岐にわたり、％での表示は困難	５分程度	調整内容の確認等	未集計	平常時より電話回数が極めて多かった。	1	3	3	1	2	1	3	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。	担当者からの報告	3	情報不足だった。, 情報の信憑性が確かではなかった。	5	主に紙に書き留めた。（アナログ式）		共有が必要な情報のみホワイトボードに書き出して共有		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。			
5/25/2019 1:06:06	山梨県	N	大月市	台風	警報時随時	２１〜３０％	３０分程度	他市町村と比較しての避難情報のタイミング等	５分程度	平常時より電話回数が極めて多かった。	0	3	3	1	3	0	1	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。		2	個々の電話対応に必要以上の時間が掛かった。	4	主にコンピューター端末に入力した。（デジタル式）	エクセル	主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	エクセル	他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。			
5/26/2019 23:42:11	三重県	N	桑名市	台風	平成30年台風21号	１１〜２０％	３０分	停電についての問い合わせ	10分	平常時より電話回数が極めて多かった。	0	1	0	0	3	0	0	3		関係者（例：消防庁や避難所運営者）からの電話やメール。		2	個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。	市民対応の割合も多く、苦情を招く恐れもあるため。		
5/27/2019 1:17:09	北海道	Y	壮瞥町	地震	北海道胆振東部地震	９１〜１００％	１０分	要配慮施設等への燃料の優先的供給	２分	平常時より電話回数が極めて多かった。	3	4	4	3	2	1	1	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。		4	情報の信憑性が確かではなかった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。	5	はい、積極的に導入したい。	誤記、勘違いなどの防止に役立つ		
5/27/2019 1:44:02	神奈川県	N	相模原市	台風		２１〜３０％	30分	停電に関する問い合わせ・苦情	3分	平常時より電話回数が多かった。	1	4	3	1	2	0	0	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。		3	特に大した問題はなかった。	3	主にコンピューター端末に入力した。（デジタル式）	エクセル	主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	エクセル	他の関係者と情報共有が中々うまくできなかった。	3	どちらとも言えない。			
5/27/2019 1:49:12	神奈川県	N	相模原市	台風	平成３０年台風第１２号	２１〜３０％	３０分程度	停電に関するもの	２分程度	平常時より電話回数が多かった。	1	4	2	1	3	0	0	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。		3	どこで必要な情報を取得できるか分からなかった。, 情報の信憑性が確かではなかった。	4	主にコンピューター端末に入力した。（デジタル式）	エクセル	主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	エクセル	他の関係者と情報共有が中々うまくできなかった。	4	どちらとも言えない。			
5/27/2019 9:10:54	北海道	Y	上富良野町	地震	平成30年北海道胆振東部地震ブラックアウト	１１〜２０％	30分程度	燃料供給に関する事項	10分	平常時と電話回数はほぼ同じだった。	2	2	2	0	1	0	0	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。		2	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	4	主にコンピューター端末に入力した。（デジタル式）	エクエルで時系列表を作成し大型モニターに表示した。	主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	エクエルで時系列表を作成し大型モニターに表示した。	情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。			
5/27/2019 10:09:26	岩手県	Y	岩泉町	台風	平成28年台風10号災害	４１〜５０％	30分	町の災害対応に対するクレーム	5分	平常時より電話回数が極めて多かった。	4	4	3	2	1	3	3	4		関係者（例：消防庁や避難所運営者）からの電話やメール。		1	情報不足だった。, どこで必要な情報を取得できるか分からなかった。, 情報の信憑性が確かではなかった。, 個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。	ｆデータベースから引き出す「回答に役立つ情報」が、具体的にどういったものをさすのかイメージできないため。		
5/27/2019 11:04:03	福岡県	Y	飯塚市	豪雨	平成30年7月豪雨	２１〜３０％	覚えていない		約5分～10分	平常時より電話回数が極めて多かった。	0	3	2	2	3	1	1	4		関係者（例：消防庁や避難所運営者）からの電話やメール。		2	個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	4	どちらとも言えない。	自動音声認識システムの正確性が不明		
5/28/2019 1:06:01	石川県	N	輪島市	台風	平成30年台風第21号	０〜１０％	５～１０分	苦情	２～３分	平常時と電話回数はほぼ同じだった。	0	1	2	0	2	0	0	2		関係者（例：消防庁や避難所運営者）からの電話やメール。		2	個々の電話対応に必要以上の時間が掛かった。	3	主に紙に書き留めた。（アナログ式）		必要な内容は会議で報告		特に大した問題はなかった。	3	どちらとも言えない。			
5/28/2019 4:14:29	北海道	Y	美幌町	停電	町内全域停電	把握しておりません	把握しておりません	停電復旧の見通しについて	把握しておりません	平常時より電話回数が多かった。	0	3	2	0	0	0	0	1		確実な情報がなかった		3	情報不足だった。	2	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		確実な情報を得ることができなかった	3	どちらとも言えない。	ナビダイヤルのような案内は、相手が求める情報の把握には便利だが、即座に情報を求めようと問い合わせをしてくる住民にストレスを与えるおそれがあるため		
5/28/2019 4:25:06	静岡県	N	吉田町	豪雨	平成30年7月豪雨等	０〜１０％	3分程度	避難所開設情報等の提供。心理的不安の御相談。	1分程度	平常時より電話回数は少なかった。	0	0	0	1	3	0	1	1		本部判断		4	特に大した問題はなかった。	2	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	4	はい、積極的に導入したい。		外国語対応	当町は大きな災害にあっておらず、毎年の大雨等の電話対応について回答してあります。
5/28/2019 7:50:45	熊本県	N	荒尾市	豪雨	平成30年7月豪雨	１１〜２０％	１０分	避難者情報及び災害状況の確認について	２分	平常時より電話回数が極めて多かった。	1	4	4	1	4	1	0	4		関係者（例：消防庁や避難所運営者）からの電話やメール。	テレビ放送	3	電話応対に人員がとられることが負担	4	主にコンピューター端末に入力した。（デジタル式）	エクセル	主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。	4	はい、積極的に導入したい。	業務負担の軽減		
